INFO:main.py:line 10:  Initiated program
DEBUG:connectionpool.py:line 437:  https://about.google:443 "GET /intl/en/products/ HTTP/1.1" 200 429667
URL-UPDATE:main.py:line 83:  Finished gathering for https://www.google.com/intl/en/about/products.
INFO:main.py:line 150:  Start get URLS for https://www.google.com/intl/en/about/products
INFO:main.py:line 166:  End get URLS for https://www.google.com/intl/en/about/products
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for http://www.google.com/history/optout.
DEBUG:connectionpool.py:line 225:  Starting new HTTP connection (1): www.google.com:80
DEBUG:connectionpool.py:line 437:  http://www.google.com:80 "GET /history/optout HTTP/1.1" 301 0
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /history/optout HTTP/1.1" 200 None
URL-UPDATE:main.py:line 83:  Finished gathering for http://www.google.com/history/optout.
INFO:main.py:line 150:  Start get URLS for http://www.google.com/history/optout
INFO:main.py:line 166:  End get URLS for http://www.google.com/history/optout
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://google.com//preferences.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): google.com:443
DEBUG:connectionpool.py:line 437:  https://google.com:443 "GET //preferences HTTP/1.1" 301 231
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /preferences HTTP/1.1" 200 None
URL-UPDATE:main.py:line 83:  Finished gathering for https://google.com//preferences.
INFO:main.py:line 150:  Start get URLS for https://google.com//preferences
INFO:main.py:line 166:  End get URLS for https://google.com//preferences
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://accounts.google.com/ServiceLogin.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): accounts.google.com:443
DEBUG:connectionpool.py:line 437:  https://accounts.google.com:443 "GET /ServiceLogin HTTP/1.1" 200 None
URL-UPDATE:main.py:line 83:  Finished gathering for https://accounts.google.com/ServiceLogin.
INFO:main.py:line 150:  Start get URLS for https://accounts.google.com/ServiceLogin
INFO:main.py:line 166:  End get URLS for https://accounts.google.com/ServiceLogin
